flnatureza;dsdocumento;nmprimeiro;nmsegundo;dscep;dsuf;nmcidade;nmlogradouro;dscomplemento
15528;15528A;TestePrim15528;TesteSeg15528;29141039;ES;Caricacica;Rua seis;15528
15529;15529A;TestePrim15529;TesteSeg15529;29141039;ES;Caricacica;Rua seis;15529
15530;15530A;TestePrim15530;TesteSeg15530;29141039;ES;Caricacica;Rua seis;15530
15531;15531A;TestePrim15531;TesteSeg15531;29141039;ES;Caricacica;Rua seis;15531
15532;15532A;TestePrim15532;TesteSeg15532;29141039;ES;Caricacica;Rua seis;15532
15533;15533A;TestePrim15533;TesteSeg15533;29141039;ES;Caricacica;Rua seis;15533
15534;15534A;TestePrim15534;TesteSeg15534;29141039;ES;Caricacica;Rua seis;15534
15535;15535A;TestePrim15535;TesteSeg15535;29141039;ES;Caricacica;Rua seis;15535
15536;15536A;TestePrim15536;TesteSeg15536;29141039;ES;Caricacica;Rua seis;15536
15537;15537A;TestePrim15537;TesteSeg15537;29141039;ES;Caricacica;Rua seis;15537
15538;15538A;TestePrim15538;TesteSeg15538;29141039;ES;Caricacica;Rua seis;15538
15539;15539A;TestePrim15539;TesteSeg15539;29141039;ES;Caricacica;Rua seis;15539
15540;15540A;TestePrim15540;TesteSeg15540;29141039;ES;Caricacica;Rua seis;15540
15541;15541A;TestePrim15541;TesteSeg15541;29141039;ES;Caricacica;Rua seis;15541
15542;15542A;TestePrim15542;TesteSeg15542;29141039;ES;Caricacica;Rua seis;15542
15543;15543A;TestePrim15543;TesteSeg15543;29141039;ES;Caricacica;Rua seis;15543
15544;15544A;TestePrim15544;TesteSeg15544;29141039;ES;Caricacica;Rua seis;15544
15545;15545A;TestePrim15545;TesteSeg15545;29141039;ES;Caricacica;Rua seis;15545
15546;15546A;TestePrim15546;TesteSeg15546;29141039;ES;Caricacica;Rua seis;15546
15547;15547A;TestePrim15547;TesteSeg15547;29141039;ES;Caricacica;Rua seis;15547
15548;15548A;TestePrim15548;TesteSeg15548;29141039;ES;Caricacica;Rua seis;15548
15549;15549A;TestePrim15549;TesteSeg15549;29141039;ES;Caricacica;Rua seis;15549
15550;15550A;TestePrim15550;TesteSeg15550;29141039;ES;Caricacica;Rua seis;15550
15551;15551A;TestePrim15551;TesteSeg15551;29141039;ES;Caricacica;Rua seis;15551
15552;15552A;TestePrim15552;TesteSeg15552;29141039;ES;Caricacica;Rua seis;15552
15553;15553A;TestePrim15553;TesteSeg15553;29141039;ES;Caricacica;Rua seis;15553
15554;15554A;TestePrim15554;TesteSeg15554;29141039;ES;Caricacica;Rua seis;15554
15555;15555A;TestePrim15555;TesteSeg15555;29141039;ES;Caricacica;Rua seis;15555
15556;15556A;TestePrim15556;TesteSeg15556;29141039;ES;Caricacica;Rua seis;15556
15557;15557A;TestePrim15557;TesteSeg15557;29141039;ES;Caricacica;Rua seis;15557
15558;15558A;TestePrim15558;TesteSeg15558;29141039;ES;Caricacica;Rua seis;15558
15559;15559A;TestePrim15559;TesteSeg15559;29141039;ES;Caricacica;Rua seis;15559
15560;15560A;TestePrim15560;TesteSeg15560;29141039;ES;Caricacica;Rua seis;15560
15561;15561A;TestePrim15561;TesteSeg15561;29141039;ES;Caricacica;Rua seis;15561
15562;15562A;TestePrim15562;TesteSeg15562;29141039;ES;Caricacica;Rua seis;15562
15563;15563A;TestePrim15563;TesteSeg15563;29141039;ES;Caricacica;Rua seis;15563
15564;15564A;TestePrim15564;TesteSeg15564;29141039;ES;Caricacica;Rua seis;15564
15565;15565A;TestePrim15565;TesteSeg15565;29141039;ES;Caricacica;Rua seis;15565
15566;15566A;TestePrim15566;TesteSeg15566;29141039;ES;Caricacica;Rua seis;15566
15567;15567A;TestePrim15567;TesteSeg15567;29141039;ES;Caricacica;Rua seis;15567
15568;15568A;TestePrim15568;TesteSeg15568;29141039;ES;Caricacica;Rua seis;15568
15569;15569A;TestePrim15569;TesteSeg15569;29141039;ES;Caricacica;Rua seis;15569
15570;15570A;TestePrim15570;TesteSeg15570;29141039;ES;Caricacica;Rua seis;15570
15571;15571A;TestePrim15571;TesteSeg15571;29141039;ES;Caricacica;Rua seis;15571
15572;15572A;TestePrim15572;TesteSeg15572;29141039;ES;Caricacica;Rua seis;15572
15573;15573A;TestePrim15573;TesteSeg15573;29141039;ES;Caricacica;Rua seis;15573
15574;15574A;TestePrim15574;TesteSeg15574;29141039;ES;Caricacica;Rua seis;15574
15575;15575A;TestePrim15575;TesteSeg15575;29141039;ES;Caricacica;Rua seis;15575
15576;15576A;TestePrim15576;TesteSeg15576;29141039;ES;Caricacica;Rua seis;15576
15577;15577A;TestePrim15577;TesteSeg15577;29141039;ES;Caricacica;Rua seis;15577
15578;15578A;TestePrim15578;TesteSeg15578;29141039;ES;Caricacica;Rua seis;15578
15579;15579A;TestePrim15579;TesteSeg15579;29141039;ES;Caricacica;Rua seis;15579
15580;15580A;TestePrim15580;TesteSeg15580;29141039;ES;Caricacica;Rua seis;15580
15581;15581A;TestePrim15581;TesteSeg15581;29141039;ES;Caricacica;Rua seis;15581
15582;15582A;TestePrim15582;TesteSeg15582;29141039;ES;Caricacica;Rua seis;15582
15583;15583A;TestePrim15583;TesteSeg15583;29141039;ES;Caricacica;Rua seis;15583
15584;15584A;TestePrim15584;TesteSeg15584;29141039;ES;Caricacica;Rua seis;15584
15585;15585A;TestePrim15585;TesteSeg15585;29141039;ES;Caricacica;Rua seis;15585
15586;15586A;TestePrim15586;TesteSeg15586;29141039;ES;Caricacica;Rua seis;15586
15587;15587A;TestePrim15587;TesteSeg15587;29141039;ES;Caricacica;Rua seis;15587
15588;15588A;TestePrim15588;TesteSeg15588;29141039;ES;Caricacica;Rua seis;15588
15589;15589A;TestePrim15589;TesteSeg15589;29141039;ES;Caricacica;Rua seis;15589
15590;15590A;TestePrim15590;TesteSeg15590;29141039;ES;Caricacica;Rua seis;15590
15591;15591A;TestePrim15591;TesteSeg15591;29141039;ES;Caricacica;Rua seis;15591
15592;15592A;TestePrim15592;TesteSeg15592;29141039;ES;Caricacica;Rua seis;15592
15593;15593A;TestePrim15593;TesteSeg15593;29141039;ES;Caricacica;Rua seis;15593
15594;15594A;TestePrim15594;TesteSeg15594;29141039;ES;Caricacica;Rua seis;15594
15595;15595A;TestePrim15595;TesteSeg15595;29141039;ES;Caricacica;Rua seis;15595
15596;15596A;TestePrim15596;TesteSeg15596;29141039;ES;Caricacica;Rua seis;15596
15597;15597A;TestePrim15597;TesteSeg15597;29141039;ES;Caricacica;Rua seis;15597
15598;15598A;TestePrim15598;TesteSeg15598;29141039;ES;Caricacica;Rua seis;15598
15599;15599A;TestePrim15599;TesteSeg15599;29141039;ES;Caricacica;Rua seis;15599
15600;15600A;TestePrim15600;TesteSeg15600;29141039;ES;Caricacica;Rua seis;15600
15601;15601A;TestePrim15601;TesteSeg15601;29141039;ES;Caricacica;Rua seis;15601
15602;15602A;TestePrim15602;TesteSeg15602;29141039;ES;Caricacica;Rua seis;15602
15603;15603A;TestePrim15603;TesteSeg15603;29141039;ES;Caricacica;Rua seis;15603
15604;15604A;TestePrim15604;TesteSeg15604;29141039;ES;Caricacica;Rua seis;15604
15605;15605A;TestePrim15605;TesteSeg15605;29141039;ES;Caricacica;Rua seis;15605
15606;15606A;TestePrim15606;TesteSeg15606;29141039;ES;Caricacica;Rua seis;15606
15607;15607A;TestePrim15607;TesteSeg15607;29141039;ES;Caricacica;Rua seis;15607
15608;15608A;TestePrim15608;TesteSeg15608;29141039;ES;Caricacica;Rua seis;15608
15609;15609A;TestePrim15609;TesteSeg15609;29141039;ES;Caricacica;Rua seis;15609
15610;15610A;TestePrim15610;TesteSeg15610;29141039;ES;Caricacica;Rua seis;15610
15611;15611A;TestePrim15611;TesteSeg15611;29141039;ES;Caricacica;Rua seis;15611
15612;15612A;TestePrim15612;TesteSeg15612;29141039;ES;Caricacica;Rua seis;15612
15613;15613A;TestePrim15613;TesteSeg15613;29141039;ES;Caricacica;Rua seis;15613
15614;15614A;TestePrim15614;TesteSeg15614;29141039;ES;Caricacica;Rua seis;15614
15615;15615A;TestePrim15615;TesteSeg15615;29141039;ES;Caricacica;Rua seis;15615
15616;15616A;TestePrim15616;TesteSeg15616;29141039;ES;Caricacica;Rua seis;15616
15617;15617A;TestePrim15617;TesteSeg15617;29141039;ES;Caricacica;Rua seis;15617
15618;15618A;TestePrim15618;TesteSeg15618;29141039;ES;Caricacica;Rua seis;15618
15619;15619A;TestePrim15619;TesteSeg15619;29141039;ES;Caricacica;Rua seis;15619
15620;15620A;TestePrim15620;TesteSeg15620;29141039;ES;Caricacica;Rua seis;15620
15621;15621A;TestePrim15621;TesteSeg15621;29141039;ES;Caricacica;Rua seis;15621
15622;15622A;TestePrim15622;TesteSeg15622;29141039;ES;Caricacica;Rua seis;15622
15623;15623A;TestePrim15623;TesteSeg15623;29141039;ES;Caricacica;Rua seis;15623
15624;15624A;TestePrim15624;TesteSeg15624;29141039;ES;Caricacica;Rua seis;15624
15625;15625A;TestePrim15625;TesteSeg15625;29141039;ES;Caricacica;Rua seis;15625
15626;15626A;TestePrim15626;TesteSeg15626;29141039;ES;Caricacica;Rua seis;15626
15627;15627A;TestePrim15627;TesteSeg15627;29141039;ES;Caricacica;Rua seis;15627
15628;15628A;TestePrim15628;TesteSeg15628;29141039;ES;Caricacica;Rua seis;15628
15629;15629A;TestePrim15629;TesteSeg15629;29141039;ES;Caricacica;Rua seis;15629
15630;15630A;TestePrim15630;TesteSeg15630;29141039;ES;Caricacica;Rua seis;15630
15631;15631A;TestePrim15631;TesteSeg15631;29141039;ES;Caricacica;Rua seis;15631
15632;15632A;TestePrim15632;TesteSeg15632;29141039;ES;Caricacica;Rua seis;15632
15633;15633A;TestePrim15633;TesteSeg15633;29141039;ES;Caricacica;Rua seis;15633
15634;15634A;TestePrim15634;TesteSeg15634;29141039;ES;Caricacica;Rua seis;15634
15635;15635A;TestePrim15635;TesteSeg15635;29141039;ES;Caricacica;Rua seis;15635
15636;15636A;TestePrim15636;TesteSeg15636;29141039;ES;Caricacica;Rua seis;15636
15637;15637A;TestePrim15637;TesteSeg15637;29141039;ES;Caricacica;Rua seis;15637
15638;15638A;TestePrim15638;TesteSeg15638;29141039;ES;Caricacica;Rua seis;15638
15639;15639A;TestePrim15639;TesteSeg15639;29141039;ES;Caricacica;Rua seis;15639
15640;15640A;TestePrim15640;TesteSeg15640;29141039;ES;Caricacica;Rua seis;15640
15641;15641A;TestePrim15641;TesteSeg15641;29141039;ES;Caricacica;Rua seis;15641
15642;15642A;TestePrim15642;TesteSeg15642;29141039;ES;Caricacica;Rua seis;15642
15643;15643A;TestePrim15643;TesteSeg15643;29141039;ES;Caricacica;Rua seis;15643
15644;15644A;TestePrim15644;TesteSeg15644;29141039;ES;Caricacica;Rua seis;15644
15645;15645A;TestePrim15645;TesteSeg15645;29141039;ES;Caricacica;Rua seis;15645
15646;15646A;TestePrim15646;TesteSeg15646;29141039;ES;Caricacica;Rua seis;15646
15647;15647A;TestePrim15647;TesteSeg15647;29141039;ES;Caricacica;Rua seis;15647
15648;15648A;TestePrim15648;TesteSeg15648;29141039;ES;Caricacica;Rua seis;15648
15649;15649A;TestePrim15649;TesteSeg15649;29141039;ES;Caricacica;Rua seis;15649
15650;15650A;TestePrim15650;TesteSeg15650;29141039;ES;Caricacica;Rua seis;15650
15651;15651A;TestePrim15651;TesteSeg15651;29141039;ES;Caricacica;Rua seis;15651
15652;15652A;TestePrim15652;TesteSeg15652;29141039;ES;Caricacica;Rua seis;15652
15653;15653A;TestePrim15653;TesteSeg15653;29141039;ES;Caricacica;Rua seis;15653
15654;15654A;TestePrim15654;TesteSeg15654;29141039;ES;Caricacica;Rua seis;15654
15655;15655A;TestePrim15655;TesteSeg15655;29141039;ES;Caricacica;Rua seis;15655
15656;15656A;TestePrim15656;TesteSeg15656;29141039;ES;Caricacica;Rua seis;15656
15657;15657A;TestePrim15657;TesteSeg15657;29141039;ES;Caricacica;Rua seis;15657
15658;15658A;TestePrim15658;TesteSeg15658;29141039;ES;Caricacica;Rua seis;15658
15659;15659A;TestePrim15659;TesteSeg15659;29141039;ES;Caricacica;Rua seis;15659
15660;15660A;TestePrim15660;TesteSeg15660;29141039;ES;Caricacica;Rua seis;15660
15661;15661A;TestePrim15661;TesteSeg15661;29141039;ES;Caricacica;Rua seis;15661
15662;15662A;TestePrim15662;TesteSeg15662;29141039;ES;Caricacica;Rua seis;15662
15663;15663A;TestePrim15663;TesteSeg15663;29141039;ES;Caricacica;Rua seis;15663
15664;15664A;TestePrim15664;TesteSeg15664;29141039;ES;Caricacica;Rua seis;15664
15665;15665A;TestePrim15665;TesteSeg15665;29141039;ES;Caricacica;Rua seis;15665
15666;15666A;TestePrim15666;TesteSeg15666;29141039;ES;Caricacica;Rua seis;15666
15667;15667A;TestePrim15667;TesteSeg15667;29141039;ES;Caricacica;Rua seis;15667
15668;15668A;TestePrim15668;TesteSeg15668;29141039;ES;Caricacica;Rua seis;15668
15669;15669A;TestePrim15669;TesteSeg15669;29141039;ES;Caricacica;Rua seis;15669
15670;15670A;TestePrim15670;TesteSeg15670;29141039;ES;Caricacica;Rua seis;15670
15671;15671A;TestePrim15671;TesteSeg15671;29141039;ES;Caricacica;Rua seis;15671
15672;15672A;TestePrim15672;TesteSeg15672;29141039;ES;Caricacica;Rua seis;15672
15673;15673A;TestePrim15673;TesteSeg15673;29141039;ES;Caricacica;Rua seis;15673
15674;15674A;TestePrim15674;TesteSeg15674;29141039;ES;Caricacica;Rua seis;15674
15675;15675A;TestePrim15675;TesteSeg15675;29141039;ES;Caricacica;Rua seis;15675
15676;15676A;TestePrim15676;TesteSeg15676;29141039;ES;Caricacica;Rua seis;15676
15677;15677A;TestePrim15677;TesteSeg15677;29141039;ES;Caricacica;Rua seis;15677
15678;15678A;TestePrim15678;TesteSeg15678;29141039;ES;Caricacica;Rua seis;15678
15679;15679A;TestePrim15679;TesteSeg15679;29141039;ES;Caricacica;Rua seis;15679
15680;15680A;TestePrim15680;TesteSeg15680;29141039;ES;Caricacica;Rua seis;15680
15681;15681A;TestePrim15681;TesteSeg15681;29141039;ES;Caricacica;Rua seis;15681
15682;15682A;TestePrim15682;TesteSeg15682;29141039;ES;Caricacica;Rua seis;15682
15683;15683A;TestePrim15683;TesteSeg15683;29141039;ES;Caricacica;Rua seis;15683
15684;15684A;TestePrim15684;TesteSeg15684;29141039;ES;Caricacica;Rua seis;15684
15685;15685A;TestePrim15685;TesteSeg15685;29141039;ES;Caricacica;Rua seis;15685
15686;15686A;TestePrim15686;TesteSeg15686;29141039;ES;Caricacica;Rua seis;15686
15687;15687A;TestePrim15687;TesteSeg15687;29141039;ES;Caricacica;Rua seis;15687
15688;15688A;TestePrim15688;TesteSeg15688;29141039;ES;Caricacica;Rua seis;15688
15689;15689A;TestePrim15689;TesteSeg15689;29141039;ES;Caricacica;Rua seis;15689
15690;15690A;TestePrim15690;TesteSeg15690;29141039;ES;Caricacica;Rua seis;15690
15691;15691A;TestePrim15691;TesteSeg15691;29141039;ES;Caricacica;Rua seis;15691
15692;15692A;TestePrim15692;TesteSeg15692;29141039;ES;Caricacica;Rua seis;15692
15693;15693A;TestePrim15693;TesteSeg15693;29141039;ES;Caricacica;Rua seis;15693
15694;15694A;TestePrim15694;TesteSeg15694;29141039;ES;Caricacica;Rua seis;15694
15695;15695A;TestePrim15695;TesteSeg15695;29141039;ES;Caricacica;Rua seis;15695
15696;15696A;TestePrim15696;TesteSeg15696;29141039;ES;Caricacica;Rua seis;15696
15697;15697A;TestePrim15697;TesteSeg15697;29141039;ES;Caricacica;Rua seis;15697
15698;15698A;TestePrim15698;TesteSeg15698;29141039;ES;Caricacica;Rua seis;15698
15699;15699A;TestePrim15699;TesteSeg15699;29141039;ES;Caricacica;Rua seis;15699
15700;15700A;TestePrim15700;TesteSeg15700;29141039;ES;Caricacica;Rua seis;15700
15701;15701A;TestePrim15701;TesteSeg15701;29141039;ES;Caricacica;Rua seis;15701
15702;15702A;TestePrim15702;TesteSeg15702;29141039;ES;Caricacica;Rua seis;15702
15703;15703A;TestePrim15703;TesteSeg15703;29141039;ES;Caricacica;Rua seis;15703
15704;15704A;TestePrim15704;TesteSeg15704;29141039;ES;Caricacica;Rua seis;15704
15705;15705A;TestePrim15705;TesteSeg15705;29141039;ES;Caricacica;Rua seis;15705
15706;15706A;TestePrim15706;TesteSeg15706;29141039;ES;Caricacica;Rua seis;15706
15707;15707A;TestePrim15707;TesteSeg15707;29141039;ES;Caricacica;Rua seis;15707
15708;15708A;TestePrim15708;TesteSeg15708;29141039;ES;Caricacica;Rua seis;15708
15709;15709A;TestePrim15709;TesteSeg15709;29141039;ES;Caricacica;Rua seis;15709
15710;15710A;TestePrim15710;TesteSeg15710;29141039;ES;Caricacica;Rua seis;15710
15711;15711A;TestePrim15711;TesteSeg15711;29141039;ES;Caricacica;Rua seis;15711
15712;15712A;TestePrim15712;TesteSeg15712;29141039;ES;Caricacica;Rua seis;15712
15713;15713A;TestePrim15713;TesteSeg15713;29141039;ES;Caricacica;Rua seis;15713
15714;15714A;TestePrim15714;TesteSeg15714;29141039;ES;Caricacica;Rua seis;15714
15715;15715A;TestePrim15715;TesteSeg15715;29141039;ES;Caricacica;Rua seis;15715
15716;15716A;TestePrim15716;TesteSeg15716;29141039;ES;Caricacica;Rua seis;15716
15717;15717A;TestePrim15717;TesteSeg15717;29141039;ES;Caricacica;Rua seis;15717
15718;15718A;TestePrim15718;TesteSeg15718;29141039;ES;Caricacica;Rua seis;15718
15719;15719A;TestePrim15719;TesteSeg15719;29141039;ES;Caricacica;Rua seis;15719
15720;15720A;TestePrim15720;TesteSeg15720;29141039;ES;Caricacica;Rua seis;15720
15721;15721A;TestePrim15721;TesteSeg15721;29141039;ES;Caricacica;Rua seis;15721
15722;15722A;TestePrim15722;TesteSeg15722;29141039;ES;Caricacica;Rua seis;15722
15723;15723A;TestePrim15723;TesteSeg15723;29141039;ES;Caricacica;Rua seis;15723
15724;15724A;TestePrim15724;TesteSeg15724;29141039;ES;Caricacica;Rua seis;15724
15725;15725A;TestePrim15725;TesteSeg15725;29141039;ES;Caricacica;Rua seis;15725
15726;15726A;TestePrim15726;TesteSeg15726;29141039;ES;Caricacica;Rua seis;15726
15727;15727A;TestePrim15727;TesteSeg15727;29141039;ES;Caricacica;Rua seis;15727
15728;15728A;TestePrim15728;TesteSeg15728;29141039;ES;Caricacica;Rua seis;15728
15729;15729A;TestePrim15729;TesteSeg15729;29141039;ES;Caricacica;Rua seis;15729
15730;15730A;TestePrim15730;TesteSeg15730;29141039;ES;Caricacica;Rua seis;15730
15731;15731A;TestePrim15731;TesteSeg15731;29141039;ES;Caricacica;Rua seis;15731
15732;15732A;TestePrim15732;TesteSeg15732;29141039;ES;Caricacica;Rua seis;15732
15733;15733A;TestePrim15733;TesteSeg15733;29141039;ES;Caricacica;Rua seis;15733
15734;15734A;TestePrim15734;TesteSeg15734;29141039;ES;Caricacica;Rua seis;15734
15735;15735A;TestePrim15735;TesteSeg15735;29141039;ES;Caricacica;Rua seis;15735
15736;15736A;TestePrim15736;TesteSeg15736;29141039;ES;Caricacica;Rua seis;15736
15737;15737A;TestePrim15737;TesteSeg15737;29141039;ES;Caricacica;Rua seis;15737
15738;15738A;TestePrim15738;TesteSeg15738;29141039;ES;Caricacica;Rua seis;15738
15739;15739A;TestePrim15739;TesteSeg15739;29141039;ES;Caricacica;Rua seis;15739
15740;15740A;TestePrim15740;TesteSeg15740;29141039;ES;Caricacica;Rua seis;15740
15741;15741A;TestePrim15741;TesteSeg15741;29141039;ES;Caricacica;Rua seis;15741
15742;15742A;TestePrim15742;TesteSeg15742;29141039;ES;Caricacica;Rua seis;15742
15743;15743A;TestePrim15743;TesteSeg15743;29141039;ES;Caricacica;Rua seis;15743
15744;15744A;TestePrim15744;TesteSeg15744;29141039;ES;Caricacica;Rua seis;15744
15745;15745A;TestePrim15745;TesteSeg15745;29141039;ES;Caricacica;Rua seis;15745
15746;15746A;TestePrim15746;TesteSeg15746;29141039;ES;Caricacica;Rua seis;15746
15747;15747A;TestePrim15747;TesteSeg15747;29141039;ES;Caricacica;Rua seis;15747
15748;15748A;TestePrim15748;TesteSeg15748;29141039;ES;Caricacica;Rua seis;15748
15749;15749A;TestePrim15749;TesteSeg15749;29141039;ES;Caricacica;Rua seis;15749
15750;15750A;TestePrim15750;TesteSeg15750;29141039;ES;Caricacica;Rua seis;15750
15751;15751A;TestePrim15751;TesteSeg15751;29141039;ES;Caricacica;Rua seis;15751
15752;15752A;TestePrim15752;TesteSeg15752;29141039;ES;Caricacica;Rua seis;15752
15753;15753A;TestePrim15753;TesteSeg15753;29141039;ES;Caricacica;Rua seis;15753
15754;15754A;TestePrim15754;TesteSeg15754;29141039;ES;Caricacica;Rua seis;15754
15755;15755A;TestePrim15755;TesteSeg15755;29141039;ES;Caricacica;Rua seis;15755
15756;15756A;TestePrim15756;TesteSeg15756;29141039;ES;Caricacica;Rua seis;15756
15757;15757A;TestePrim15757;TesteSeg15757;29141039;ES;Caricacica;Rua seis;15757
15758;15758A;TestePrim15758;TesteSeg15758;29141039;ES;Caricacica;Rua seis;15758
15759;15759A;TestePrim15759;TesteSeg15759;29141039;ES;Caricacica;Rua seis;15759
15760;15760A;TestePrim15760;TesteSeg15760;29141039;ES;Caricacica;Rua seis;15760
15761;15761A;TestePrim15761;TesteSeg15761;29141039;ES;Caricacica;Rua seis;15761
15762;15762A;TestePrim15762;TesteSeg15762;29141039;ES;Caricacica;Rua seis;15762
15763;15763A;TestePrim15763;TesteSeg15763;29141039;ES;Caricacica;Rua seis;15763
15764;15764A;TestePrim15764;TesteSeg15764;29141039;ES;Caricacica;Rua seis;15764
15765;15765A;TestePrim15765;TesteSeg15765;29141039;ES;Caricacica;Rua seis;15765
15766;15766A;TestePrim15766;TesteSeg15766;29141039;ES;Caricacica;Rua seis;15766
15767;15767A;TestePrim15767;TesteSeg15767;29141039;ES;Caricacica;Rua seis;15767
15768;15768A;TestePrim15768;TesteSeg15768;29141039;ES;Caricacica;Rua seis;15768
15769;15769A;TestePrim15769;TesteSeg15769;29141039;ES;Caricacica;Rua seis;15769
15770;15770A;TestePrim15770;TesteSeg15770;29141039;ES;Caricacica;Rua seis;15770
15771;15771A;TestePrim15771;TesteSeg15771;29141039;ES;Caricacica;Rua seis;15771
15772;15772A;TestePrim15772;TesteSeg15772;29141039;ES;Caricacica;Rua seis;15772
15773;15773A;TestePrim15773;TesteSeg15773;29141039;ES;Caricacica;Rua seis;15773
15774;15774A;TestePrim15774;TesteSeg15774;29141039;ES;Caricacica;Rua seis;15774
15775;15775A;TestePrim15775;TesteSeg15775;29141039;ES;Caricacica;Rua seis;15775
15776;15776A;TestePrim15776;TesteSeg15776;29141039;ES;Caricacica;Rua seis;15776
15777;15777A;TestePrim15777;TesteSeg15777;29141039;ES;Caricacica;Rua seis;15777
15778;15778A;TestePrim15778;TesteSeg15778;29141039;ES;Caricacica;Rua seis;15778
15779;15779A;TestePrim15779;TesteSeg15779;29141039;ES;Caricacica;Rua seis;15779
15780;15780A;TestePrim15780;TesteSeg15780;29141039;ES;Caricacica;Rua seis;15780
15781;15781A;TestePrim15781;TesteSeg15781;29141039;ES;Caricacica;Rua seis;15781
15782;15782A;TestePrim15782;TesteSeg15782;29141039;ES;Caricacica;Rua seis;15782
15783;15783A;TestePrim15783;TesteSeg15783;29141039;ES;Caricacica;Rua seis;15783
15784;15784A;TestePrim15784;TesteSeg15784;29141039;ES;Caricacica;Rua seis;15784
15785;15785A;TestePrim15785;TesteSeg15785;29141039;ES;Caricacica;Rua seis;15785
15786;15786A;TestePrim15786;TesteSeg15786;29141039;ES;Caricacica;Rua seis;15786
15787;15787A;TestePrim15787;TesteSeg15787;29141039;ES;Caricacica;Rua seis;15787
15788;15788A;TestePrim15788;TesteSeg15788;29141039;ES;Caricacica;Rua seis;15788
15789;15789A;TestePrim15789;TesteSeg15789;29141039;ES;Caricacica;Rua seis;15789
15790;15790A;TestePrim15790;TesteSeg15790;29141039;ES;Caricacica;Rua seis;15790
15791;15791A;TestePrim15791;TesteSeg15791;29141039;ES;Caricacica;Rua seis;15791
15792;15792A;TestePrim15792;TesteSeg15792;29141039;ES;Caricacica;Rua seis;15792
15793;15793A;TestePrim15793;TesteSeg15793;29141039;ES;Caricacica;Rua seis;15793
15794;15794A;TestePrim15794;TesteSeg15794;29141039;ES;Caricacica;Rua seis;15794
15795;15795A;TestePrim15795;TesteSeg15795;29141039;ES;Caricacica;Rua seis;15795
15796;15796A;TestePrim15796;TesteSeg15796;29141039;ES;Caricacica;Rua seis;15796
15797;15797A;TestePrim15797;TesteSeg15797;29141039;ES;Caricacica;Rua seis;15797
15798;15798A;TestePrim15798;TesteSeg15798;29141039;ES;Caricacica;Rua seis;15798
15799;15799A;TestePrim15799;TesteSeg15799;29141039;ES;Caricacica;Rua seis;15799
15800;15800A;TestePrim15800;TesteSeg15800;29141039;ES;Caricacica;Rua seis;15800
15801;15801A;TestePrim15801;TesteSeg15801;29141039;ES;Caricacica;Rua seis;15801
15802;15802A;TestePrim15802;TesteSeg15802;29141039;ES;Caricacica;Rua seis;15802
15803;15803A;TestePrim15803;TesteSeg15803;29141039;ES;Caricacica;Rua seis;15803
15804;15804A;TestePrim15804;TesteSeg15804;29141039;ES;Caricacica;Rua seis;15804
15805;15805A;TestePrim15805;TesteSeg15805;29141039;ES;Caricacica;Rua seis;15805
15806;15806A;TestePrim15806;TesteSeg15806;29141039;ES;Caricacica;Rua seis;15806
15807;15807A;TestePrim15807;TesteSeg15807;29141039;ES;Caricacica;Rua seis;15807
15808;15808A;TestePrim15808;TesteSeg15808;29141039;ES;Caricacica;Rua seis;15808
15809;15809A;TestePrim15809;TesteSeg15809;29141039;ES;Caricacica;Rua seis;15809
15810;15810A;TestePrim15810;TesteSeg15810;29141039;ES;Caricacica;Rua seis;15810
15811;15811A;TestePrim15811;TesteSeg15811;29141039;ES;Caricacica;Rua seis;15811
15812;15812A;TestePrim15812;TesteSeg15812;29141039;ES;Caricacica;Rua seis;15812
15813;15813A;TestePrim15813;TesteSeg15813;29141039;ES;Caricacica;Rua seis;15813
15814;15814A;TestePrim15814;TesteSeg15814;29141039;ES;Caricacica;Rua seis;15814
15815;15815A;TestePrim15815;TesteSeg15815;29141039;ES;Caricacica;Rua seis;15815
15816;15816A;TestePrim15816;TesteSeg15816;29141039;ES;Caricacica;Rua seis;15816
15817;15817A;TestePrim15817;TesteSeg15817;29141039;ES;Caricacica;Rua seis;15817
15818;15818A;TestePrim15818;TesteSeg15818;29141039;ES;Caricacica;Rua seis;15818
15819;15819A;TestePrim15819;TesteSeg15819;29141039;ES;Caricacica;Rua seis;15819
15820;15820A;TestePrim15820;TesteSeg15820;29141039;ES;Caricacica;Rua seis;15820
15821;15821A;TestePrim15821;TesteSeg15821;29141039;ES;Caricacica;Rua seis;15821
15822;15822A;TestePrim15822;TesteSeg15822;29141039;ES;Caricacica;Rua seis;15822
15823;15823A;TestePrim15823;TesteSeg15823;29141039;ES;Caricacica;Rua seis;15823
15824;15824A;TestePrim15824;TesteSeg15824;29141039;ES;Caricacica;Rua seis;15824
15825;15825A;TestePrim15825;TesteSeg15825;29141039;ES;Caricacica;Rua seis;15825
15826;15826A;TestePrim15826;TesteSeg15826;29141039;ES;Caricacica;Rua seis;15826
15827;15827A;TestePrim15827;TesteSeg15827;29141039;ES;Caricacica;Rua seis;15827
15828;15828A;TestePrim15828;TesteSeg15828;29141039;ES;Caricacica;Rua seis;15828
15829;15829A;TestePrim15829;TesteSeg15829;29141039;ES;Caricacica;Rua seis;15829
15830;15830A;TestePrim15830;TesteSeg15830;29141039;ES;Caricacica;Rua seis;15830
